Name|Address|Category|Lng|Lat
春典有限公司|高雄市鳳山區鎮北里鳳仁路９３之１４號|金屬製品製造業,機械設備製造業|22.6394236|120.3728591
春吉股份有限公司美山廠|高雄市鳥松區仁美里美山路５９號|金屬製品製造業|22.6438204|120.3839744
春吉股份有限公司|高雄市鳥松區美山路19巷19弄8號|金屬製品製造業|22.6438076|120.3769463
春吉股份有限公司|高雄市鳳山區鎮北里鳳仁路９３之１５號|金屬製品製造業,機械設備製造業|22.6396215|120.3726697
春弘企業股份有限公司|高雄市岡山區台上里成功路５１７之５號|金屬製品製造業|22.815107|120.300995
春日機械工業股份有限公司台上廠|高雄市岡山區大寶街６０號|機械設備製造業|22.8055321|120.2901714
春日機械工業股份有限公司|高雄市岡山區岡山里大寶街５０號|機械設備製造業|22.805256|120.29053
春旭模具有限公司|高雄市岡山區嘉興里宏中街365號|金屬製品製造業,機械設備製造業|22.8223509|120.2969272
春明木業股份有限公司|高雄市大寮區後庄里民貴街６０巷７號|木竹製品製造業|22.6324857|120.3850211
春星工業股份有限公司八德廠|高雄市梓官區大舍里八德路355號|基本金屬製造業|22.7532609|120.2554613
春星工業股份有限公司永安廠|高雄市永安區永工二路１１號|基本金屬製造業,金屬製品製造業|22.8115277|120.2521168
春星工業股份有限公司|高雄市梓官區大舍里大舍北路３００號|基本金屬製造業,金屬製品製造業|22.7500655|120.261519
春昱企業社|高雄市岡山區嘉峰里嘉峰路2巷30號1樓|金屬製品製造業|22.8248319|120.3114623
春木工廠股份有限公司|高雄市梓官區梓信里梓官路５１７號|金屬製品製造業|22.7657706|120.2673755
春樹企業股份有限公司|高雄市三民區十全里中華二路168號|其他運輸工具及其零件製造業|22.642764|120.292034
春樹造機廠|高雄市三民區十全里中華二路１６８號|機械設備製造業|22.642764|120.292034
春橋田股份有限公司|高雄市前鎮區明孝里豐漁三路３６號|其他運輸工具及其零件製造業|22.574272|120.3132402
春源鋼鐵工業股份有限公司特殊鋼高雄廠|高雄市小港區山明里世全路５號|金屬製品製造業|22.5461307|120.3692652
春源鋼鐵工業股份有限公司鋼構高雄廠|高雄市小港區山明里世全路５號|基本金屬製造業,金屬製品製造業|22.5461307|120.3692652
春源鋼鐵工業股份有限公司|高雄市小港區山明里世全路５號|基本金屬製造業,金屬製品製造業|22.5461307|120.3692652
春皇企業有限公司|高雄市仁武區竹後里後庄巷１１５號|金屬製品製造業|22.7126567|120.3412488
